Machine,Utilisation,Day
X3,29.20236946468875,2021-12-21 12:52:32.166332
X5,80.16693961457901,2021-12-21 12:52:32.167445
X4,26.410837582312126,2021-12-21 12:52:32.167445
X6,54.54047162185927,2021-12-21 12:52:32.168543
X9,20.113721900637856,2021-12-21 12:52:32.169545
X7,43.54900541163751,2021-12-21 12:52:32.169545
X10,75.09321451530856,2021-12-21 12:52:32.169545
X8,68.79903892617035,2021-12-21 12:52:32.169545
X1,89.68675283407005,2021-12-22 12:52:32.149203
X2,47.68388104639294,2021-12-22 12:52:32.164830
X3,84.02734541674205,2021-12-22 12:52:32.166332
X4,35.07507728216924,2021-12-22 12:52:32.167445
X5,53.291007916271916,2021-12-22 12:52:32.167445
X6,54.91771980852071,2021-12-22 12:52:32.168543
X9,26.575102407702992,2021-12-22 12:52:32.169545
X7,57.22927315161829,2021-12-22 12:52:32.169545
X8,28.573131846959505,2021-12-22 12:52:32.169545
X10,22.455469745955902,2021-12-22 12:52:32.169545
X1,70.25778068019169,2021-12-23 12:52:32.149203
X2,46.77314892690522,2021-12-23 12:52:32.164830
X3,48.226410287761475,2021-12-23 12:52:32.166332
X5,70.64936200188953,2021-12-23 12:52:32.167445
X4,63.95550257354127,2021-12-23 12:52:32.167445
X6,21.799024547131246,2021-12-23 12:52:32.168543
X10,89.7908026040634,2021-12-23 12:52:32.169545
X7,83.13011810475567,2021-12-23 12:52:32.169545
X9,62.27865771889562,2021-12-23 12:52:32.169545
X8,66.53136320656621,2021-12-23 12:52:32.169545
X1,43.34043984168861,2021-12-24 12:52:32.149203
X2,62.63043910868226,2021-12-24 12:52:32.164830
X3,65.71415274765602,2021-12-24 12:52:32.166332
X4,79.53776337181603,2021-12-24 12:52:32.167445
X5,84.75539187559393,2021-12-24 12:52:32.167445
X6,28.32820333639544,2021-12-24 12:52:32.168543
X7,20.184593287106555,2021-12-24 12:52:32.169545
X10,79.397806612784,2021-12-24 12:52:32.169545
X9,90.25920824079722,2021-12-24 12:52:32.169545
X8,88.51539019574773,2021-12-24 12:52:32.169545
X1,54.75004791681727,2021-12-25 12:52:32.149203
X2,65.62582652199904,2021-12-25 12:52:32.164830
X3,64.66689171565571,2021-12-25 12:52:32.166332
X5,58.29781822198012,2021-12-25 12:52:32.167445
X4,81.15092555072343,2021-12-25 12:52:32.167445
X6,76.57932574943557,2021-12-25 12:52:32.168543
X7,55.53207014590251,2021-12-25 12:52:32.169545
X9,50.02009313017217,2021-12-25 12:52:32.169545
X8,27.86000392353045,2021-12-25 12:52:32.169545
X10,89.27383741250355,2021-12-25 12:52:32.169545
X1,70.64358624286871,2021-12-26 12:52:32.149203
X2,29.813477198022447,2021-12-26 12:52:32.164830
X3,90.32522050110092,2021-12-26 12:52:32.166332
X5,36.37397199804556,2021-12-26 12:52:32.167445
X4,75.94884190467289,2021-12-26 12:52:32.167445
X6,39.46323102126901,2021-12-26 12:52:32.168543
X9,45.63141301914923,2021-12-26 12:52:32.169545
X7,56.05007870402025,2021-12-26 12:52:32.169545
X8,86.4305127552205,2021-12-26 12:52:32.169545
X10,59.926178518455906,2021-12-26 12:52:32.169545
X1,84.88944075400673,2021-12-27 12:52:32.149203
X2,83.7785588525217,2021-12-27 12:52:32.164830
X3,62.960747536590986,2021-12-27 12:52:32.166332
X5,68.00684133007503,2021-12-27 12:52:32.167445
X4,78.78299735907407,2021-12-27 12:52:32.167445
X6,55.39983943928291,2021-12-27 12:52:32.168543
X10,49.73038919518592,2021-12-27 12:52:32.169545
X7,33.48948863780659,2021-12-27 12:52:32.169545
X9,88.32920826130554,2021-12-27 12:52:32.169545
X8,20.45714976802562,2021-12-27 12:52:32.169545
X1,87.29262941306426,2021-12-28 12:52:32.149203
X2,70.10123075413341,2021-12-28 12:52:32.164830
X3,47.429548810530115,2021-12-28 12:52:32.166332
X5,34.625112387031294,2021-12-28 12:52:32.167445
X4,36.10365134135766,2021-12-28 12:52:32.167445
X6,44.76815743771019,2021-12-28 12:52:32.168543
X10,33.07914695674283,2021-12-28 12:52:32.169545
X9,83.99895451688474,2021-12-28 12:52:32.169545
X7,31.77247805695042,2021-12-28 12:52:32.169545
X8,88.17540904737587,2021-12-28 12:52:32.169545
X1,80.29956004456933,2021-12-29 12:52:32.149203
X2,82.86208979975177,2021-12-29 12:52:32.164830
X3,21.3067278642211,2021-12-29 12:52:32.166332
X5,24.76237760133121,2021-12-29 12:52:32.167445
X4,79.49089823149143,2021-12-29 12:52:32.167445
X6,72.81264536764405,2021-12-29 12:52:32.168543
X7,87.88665453170243,2021-12-29 12:52:32.169545
X9,30.787682895773337,2021-12-29 12:52:32.169545
X8,66.73137489098065,2021-12-29 12:52:32.169545
X10,29.906658783987233,2021-12-29 12:52:32.169545
X1,40.089263782904986,2021-12-30 12:52:32.149203
X2,23.135832514618286,2021-12-30 12:52:32.164830
X3,53.74986363568619,2021-12-30 12:52:32.166332
X5,50.5737655693554,2021-12-30 12:52:32.167445
X4,38.78142296955701,2021-12-30 12:52:32.167445
X6,42.09993245244518,2021-12-30 12:52:32.168543
X10,27.018698564949517,2021-12-30 12:52:32.169545
X7,31.60762780021197,2021-12-30 12:52:32.169545
X8,81.84243942476886,2021-12-30 12:52:32.169545
X9,26.760509637067535,2021-12-30 12:52:32.169545
X1,20.804327333103544,2021-12-31 12:52:32.149203
X2,46.6539652075722,2021-12-31 12:52:32.164830
X3,61.397974503312426,2021-12-31 12:52:32.166332
X4,51.43299660089296,2021-12-31 12:52:32.167445
X5,74.32649600196683,2021-12-31 12:52:32.167445
X6,72.63938280648986,2021-12-31 12:52:32.168543
X7,90.59790457652886,2021-12-31 12:52:32.169545
X10,89.40580420251672,2021-12-31 12:52:32.169545
X9,46.06221439048912,2021-12-31 12:52:32.169545
X8,46.814155244931065,2021-12-31 12:52:32.169545
X1,27.69549223377373,2022-01-01 12:52:32.149203
X2,85.03714158965141,2022-01-01 12:52:32.164830
X3,81.50380925458546,2022-01-01 12:52:32.166332
X4,37.10585407969528,2022-01-01 12:52:32.167445
X5,63.49327876058644,2022-01-01 12:52:32.167445
X6,84.46002675516077,2022-01-01 12:52:32.168543
X10,53.810297318424766,2022-01-01 12:52:32.169545
X9,46.320174560174394,2022-01-01 12:52:32.169545
X8,86.49900641551383,2022-01-01 12:52:32.169545
X7,82.4841940821515,2022-01-01 12:52:32.169545
X1,84.15239303365473,2022-01-02 12:52:32.149203
X2,42.359438461794525,2022-01-02 12:52:32.164830
X3,52.50777413145923,2022-01-02 12:52:32.166332
X4,61.16302466734097,2022-01-02 12:52:32.167445
X5,49.87032376829655,2022-01-02 12:52:32.167445
X6,39.581160179936546,2022-01-02 12:52:32.168543
X7,75.5587264038563,2022-01-02 12:52:32.169545
X9,30.07186435262532,2022-01-02 12:52:32.169545
X8,65.44956561576205,2022-01-02 12:52:32.169545
X10,26.985707233439086,2022-01-02 12:52:32.169545
X1,81.9168890235531,2022-01-03 12:52:32.149203
X2,51.27572140209644,2022-01-03 12:52:32.164830
X3,58.140362207043694,2022-01-03 12:52:32.166332
X4,87.88719739254464,2022-01-03 12:52:32.167445
X5,77.90275977917493,2022-01-03 12:52:32.167445
X6,47.16799772385198,2022-01-03 12:52:32.168543
X9,31.303883017110806,2022-01-03 12:52:32.169545
X8,71.77821857716376,2022-01-03 12:52:32.169545
X7,83.11320310185538,2022-01-03 12:52:32.169545
X10,71.44275754278137,2022-01-03 12:52:32.169545
X1,69.33442649454047,2022-01-04 12:52:32.149203
X2,87.72739215256595,2022-01-04 12:52:32.164830
X3,89.25429379921472,2022-01-04 12:52:32.166332
X4,62.16236437028285,2022-01-04 12:52:32.167445
X5,53.98920191487729,2022-01-04 12:52:32.167445
X6,88.4827604631326,2022-01-04 12:52:32.168543
X9,88.8814518046432,2022-01-04 12:52:32.169545
X7,20.031918725375803,2022-01-04 12:52:32.169545
X10,85.08677819099995,2022-01-04 12:52:32.169545
X8,77.01410482360899,2022-01-04 12:52:32.169545
X1,42.786541939904566,2022-01-05 12:52:32.149203
X2,87.38240841160814,2022-01-05 12:52:32.164830
X3,31.85719769103178,2022-01-05 12:52:32.166332
X4,49.81241040494942,2022-01-05 12:52:32.167445
X5,23.792393364381716,2022-01-05 12:52:32.167445
X6,30.576446787513138,2022-01-05 12:52:32.168543
X10,28.820756257883275,2022-01-05 12:52:32.169545
X9,52.420434198260615,2022-01-05 12:52:32.169545
X8,22.692401807927684,2022-01-05 12:52:32.169545
X7,49.78804825486836,2022-01-05 12:52:32.169545
X1,23.775041725309812,2022-01-06 12:52:32.149203
X2,33.59754973120559,2022-01-06 12:52:32.164830
X3,87.4141334580406,2022-01-06 12:52:32.166332
X4,86.19721525224207,2022-01-06 12:52:32.167445
X5,25.33078605560464,2022-01-06 12:52:32.167445
X6,41.512913500614076,2022-01-06 12:52:32.168543
X9,86.22932098333374,2022-01-06 12:52:32.169545
X7,79.28982569576574,2022-01-06 12:52:32.169545
X8,88.82200776130337,2022-01-06 12:52:32.169545
X10,65.55347694976845,2022-01-06 12:52:32.169545
X1,55.864007929101284,2022-01-07 12:52:32.149203
X2,89.02690420444551,2022-01-07 12:52:32.164830
X3,37.756035499658246,2022-01-07 12:52:32.166332
X5,36.18815639280946,2022-01-07 12:52:32.167445
X4,28.677007701461037,2022-01-07 12:52:32.167445
X6,63.28296806078184,2022-01-07 12:52:32.168543
X8,33.11711261515923,2022-01-07 12:52:32.169545
X9,79.74057269357209,2022-01-07 12:52:32.169545
X7,65.71713258887411,2022-01-07 12:52:32.169545
X10,54.388352816775736,2022-01-07 12:52:32.169545
X1,68.54079687023808,2022-01-08 12:52:32.149203
X2,24.605159885356436,2022-01-08 12:52:32.164830
X3,58.611551414007046,2022-01-08 12:52:32.166332
X5,56.09948511095819,2022-01-08 12:52:32.167445
X4,28.33408278789308,2022-01-08 12:52:32.167445
X6,46.87043781175527,2022-01-08 12:52:32.168543
X10,84.73817248717845,2022-01-08 12:52:32.169545
X7,64.48484429735397,2022-01-08 12:52:32.169545
X8,54.64438678365825,2022-01-08 12:52:32.169545
X9,70.87754598178324,2022-01-08 12:52:32.169545
X1,78.41339030782572,2022-01-09 12:52:32.149203
X2,20.94986962030414,2022-01-09 12:52:32.164830
X3,59.381714516045164,2022-01-09 12:52:32.166332
X4,45.60154336398798,2022-01-09 12:52:32.167445
X5,45.938078487758666,2022-01-09 12:52:32.167445
X6,84.25315411035325,2022-01-09 12:52:32.168543
X9,75.82694357423142,2022-01-09 12:52:32.169545
X8,25.68925094310781,2022-01-09 12:52:32.169545
X7,67.05485961259842,2022-01-09 12:52:32.169545
X10,63.33038660102612,2022-01-09 12:52:32.169545
X1,55.49818921091134,2022-01-10 12:52:32.149203
X2,29.63485743710821,2022-01-10 12:52:32.164830
X3,30.878464374143675,2022-01-10 12:52:32.166332
X4,38.785837281609965,2022-01-10 12:52:32.167445
X5,48.94817306648207,2022-01-10 12:52:32.167445
X6,20.87487758417017,2022-01-10 12:52:32.168543
X10,78.12787088267967,2022-01-10 12:52:32.169545
X8,27.270722781373493,2022-01-10 12:52:32.169545
X9,89.25053046435042,2022-01-10 12:52:32.169545
X7,38.236988925659574,2022-01-10 12:52:32.169545
X1,41.31725766083526,2022-01-11 12:52:32.149203
X2,23.83136626932623,2022-01-11 12:52:32.164830
X3,48.49289671495105,2022-01-11 12:52:32.166332
X4,70.32710252702957,2022-01-11 12:52:32.167445
X5,20.473716220061156,2022-01-11 12:52:32.167445
X6,44.264850550739325,2022-01-11 12:52:32.168543
X10,36.92323299599494,2022-01-11 12:52:32.169545
X9,83.2579969979036,2022-01-11 12:52:32.169545
X8,20.230808256033676,2022-01-11 12:52:32.169545
X7,21.272176581647585,2022-01-11 12:52:32.169545
X1,32.089615177366305,2022-01-12 12:52:32.149203
X2,50.05274905274558,2022-01-12 12:52:32.164830
X3,75.71968574623043,2022-01-12 12:52:32.166332
X5,75.09498668678275,2022-01-12 12:52:32.167445
X4,61.05391640647996,2022-01-12 12:52:32.167445
X6,30.170613405045763,2022-01-12 12:52:32.168543
X8,27.943909822585134,2022-01-12 12:52:32.169545
X7,31.23093519656506,2022-01-12 12:52:32.169545
X10,48.76914356734311,2022-01-12 12:52:32.169545
X9,47.91499175180543,2022-01-12 12:52:32.169545
X1,80.87251706166293,2022-01-13 12:52:32.149203
X2,26.690206141394643,2022-01-13 12:52:32.164830
X3,40.40531698133151,2022-01-13 12:52:32.166332
X4,42.00627914514361,2022-01-13 12:52:32.167445
X5,89.89187239553536,2022-01-13 12:52:32.167445
X6,29.568455134781964,2022-01-13 12:52:32.168543
X8,66.56599279854879,2022-01-13 12:52:32.169545
X10,75.34326229452381,2022-01-13 12:52:32.169545
X7,25.558071261802947,2022-01-13 12:52:32.169545
X9,30.29541415173648,2022-01-13 12:52:32.169545
X1,90.2415391000605,2022-01-14 12:52:32.149203
X2,26.76931909158676,2022-01-14 12:52:32.164830
X3,43.69736525987834,2022-01-14 12:52:32.166332
X5,25.02775388315885,2022-01-14 12:52:32.167445
X4,64.95079756228623,2022-01-14 12:52:32.167445
X6,76.03481023589333,2022-01-14 12:52:32.168543
X9,25.19469773996114,2022-01-14 12:52:32.169545
X10,84.70062940694993,2022-01-14 12:52:32.169545
X7,25.348482203825064,2022-01-14 12:52:32.169545
X8,90.671369063516,2022-01-14 12:52:32.169545
X1,79.47552312387745,2022-01-15 12:52:32.149203
X2,64.49878782216203,2022-01-15 12:52:32.164830
X3,86.9185602114125,2022-01-15 12:52:32.166332
X5,53.02085866668837,2022-01-15 12:52:32.167445
X4,73.68540114140946,2022-01-15 12:52:32.167445
X6,44.797712360625496,2022-01-15 12:52:32.168543
X10,89.85913315566643,2022-01-15 12:52:32.169545
X7,63.0009640779122,2022-01-15 12:52:32.169545
X9,76.23246847950173,2022-01-15 12:52:32.169545
X8,51.93132663578535,2022-01-15 12:52:32.169545
X1,65.09353356876234,2022-01-16 12:52:32.149203
X2,62.92743981926296,2022-01-16 12:52:32.164830
X3,42.798765280367945,2022-01-16 12:52:32.166332
X4,24.957478397357356,2022-01-16 12:52:32.167445
X5,58.747442730326924,2022-01-16 12:52:32.167445
X6,37.95962325692095,2022-01-16 12:52:32.168543
X9,46.42590703577101,2022-01-16 12:52:32.169545
X7,77.12404228572035,2022-01-16 12:52:32.169545
X8,58.841422984324026,2022-01-16 12:52:32.169545
X10,73.51876162724841,2022-01-16 12:52:32.169545
X1,69.76853212184571,2022-01-17 12:52:32.149203
X2,46.343024306221515,2022-01-17 12:52:32.164830
X3,46.616205847038785,2022-01-17 12:52:32.166332
X4,34.63726062761544,2022-01-17 12:52:32.167445
X5,37.150113823174095,2022-01-17 12:52:32.167445
X6,23.784120015995477,2022-01-17 12:52:32.168543
X10,75.35768698846294,2022-01-17 12:52:32.169545
X8,33.69897773251525,2022-01-17 12:52:32.169545
X9,33.371061309680044,2022-01-17 12:52:32.169545
X7,87.08252516558002,2022-01-17 12:52:32.169545
X1,54.72607237724632,2022-01-18 12:52:32.149203
X2,72.97234607827366,2022-01-18 12:52:32.164830
X3,37.6389311600907,2022-01-18 12:52:32.166332
X5,69.40447427417648,2022-01-18 12:52:32.167445
X4,46.248859740974765,2022-01-18 12:52:32.167445
X6,43.967021468331495,2022-01-18 12:52:32.168543
X9,28.064079991384418,2022-01-18 12:52:32.169545
X7,39.174089452552934,2022-01-18 12:52:32.169545
X8,33.556771913026395,2022-01-18 12:52:32.169545
X10,83.34985764637379,2022-01-18 12:52:32.169545
X1,37.76217006456254,2022-01-19 12:52:32.149203
X2,85.93041678126546,2022-01-19 12:52:32.164830
X3,68.90926374357865,2022-01-19 12:52:32.166332
X4,86.71628729641522,2022-01-19 12:52:32.167445
X5,86.08778440366427,2022-01-19 12:52:32.167445
X6,70.18559945225168,2022-01-19 12:52:32.168543
X9,35.021134981646256,2022-01-19 12:52:32.169545
X10,54.564226885407614,2022-01-19 12:52:32.169545
X8,61.185749868404145,2022-01-19 12:52:32.169545
X7,63.136087907510046,2022-01-19 12:52:32.169545
X1,89.40130599543494,2022-01-20 12:52:32.149203
X2,51.3035218623904,2022-01-20 12:52:32.164830
X3,41.639511166972135,2022-01-20 12:52:32.166332
X4,35.164991015788885,2022-01-20 12:52:32.167445
X5,89.25429911260086,2022-01-20 12:52:32.167445
X6,41.95615094687622,2022-01-20 12:52:32.168543
X10,28.85391952673377,2022-01-20 12:52:32.169545
X8,72.59591144097104,2022-01-20 12:52:32.169545
X9,86.28567125828579,2022-01-20 12:52:32.169545
X7,54.93141774435002,2022-01-20 12:52:32.169545
X1,53.077100910590296,2022-01-21 12:52:32.149203
X2,84.44647431745706,2022-01-21 12:52:32.164830
X3,34.65868705856899,2022-01-21 12:52:32.166332
X5,27.69255708735205,2022-01-21 12:52:32.167445
X4,69.7192679169361,2022-01-21 12:52:32.167445
X6,74.03994641783524,2022-01-21 12:52:32.168543
X7,38.32577304146858,2022-01-21 12:52:32.169545
X10,65.2483647807789,2022-01-21 12:52:32.169545
X8,83.47128392484665,2022-01-21 12:52:32.169545
X9,61.63164548452242,2022-01-21 12:52:32.169545
X1,53.93328482906451,2022-01-22 12:52:32.149203
X2,26.297148446321813,2022-01-22 12:52:32.164830
X3,85.85855814293114,2022-01-22 12:52:32.166332
X4,83.6280012559771,2022-01-22 12:52:32.167445
X5,35.755178664269664,2022-01-22 12:52:32.167445
X6,51.1105459696483,2022-01-22 12:52:32.168543
X9,33.28795377738176,2022-01-22 12:52:32.169545
